id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,sqft_lot15
7129300520,2219,3,1,1180,5650,1,0,0,3,7,1180,0,1955,0,42.5112,-73.757,1340,5650
6414100192,5380,3,2.25,2570,7242,2,0,0,3,7,2170,400,1951,1991,42.737821,-73.719,1690,7639
5631500400,1800,2,1,770,10000,1,0,0,3,6,770,0,1933,0,42.7378379,-73.733,2720,8062
2487200875,6040,4,3,1960,5000,1,0,0,5,7,1050,910,1965,0,42.5208208,-73.793,1360,5000
1954400510,5100,3,2,1680,8080,1,0,0,3,8,1680,0,1987,0,42.6168168,-73.745,1800,7503
7237550310,1230,4,4.5,5420,101930,1,0,0,3,11,3890,1530,2001,0,42.6168561,-73.705,4760,101930
1321400060,2575,3,2.25,1715,6819,2,0,0,3,7,1715,0,1995,0,42.3097097,-73.727,2238,6819
2008000270,2918,3,1.5,1060,9711,1,0,0,3,7,1060,0,1963,0,42.4095095,-73.715,1650,9711
2414600126,2295,3,1,1780,7470,1,0,0,3,7,1050,730,1960,0,42.5208123,-73.737,1780,8113
3793500160,3230,3,2.5,1890,6560,2,0,0,3,7,1890,0,2003,0,42.3097684,-73.731,2390,7570
1736800520,6625,3,2.5,3560,9796,1,0,0,3,8,1860,1700,1965,0,42.6168007,-73.745,2210,8925
9212900260,4680,2,1,1160,6000,1,0,0,4,7,860,300,1942,0,42.61689,-73.792,1330,6000
114101516,3100,3,1,1430,19901,1.5,0,0,4,7,1430,0,1927,0,42.7378558,-73.729,1780,12697
6054650070,4000,3,1.75,1370,9680,1,0,0,4,7,1370,0,1977,0,42.6168127,-73.745,1370,10208
1175000570,5300,5,2,1810,4850,1.5,0,0,3,7,1810,0,1900,0,42.61687,-73.794,1360,4850
9297300055,6500,4,3,2950,5000,2,0,3,3,9,1980,970,1979,0,42.5208714,-73.775,2140,4000
1875500060,3950,3,2,1890,14040,2,0,0,3,7,1890,0,1994,0,42.7378277,-73.862,1890,14018
6865200140,4850,4,1,1600,4300,1.5,0,0,4,7,1600,0,1916,0,42.6168648,-73.743,1610,4300
16000397,1890,2,1,1200,9850,1,0,0,4,7,1200,0,1921,0,42.3097089,-73.71,1060,5095
7983200060,2300,3,1,1250,9774,1,0,0,4,7,1250,0,1969,0,42.3097343,-73.706,1280,8850
6300500875,3850,4,1.75,1620,4980,1,0,0,4,7,860,760,1947,0,42.7378025,-73.741,1400,4980
2524049179,2000,3,2.75,3050,44867,1,0,4,3,9,2330,720,1968,0,42.5208316,-73.733,4110,20336
7137970340,2850,5,2.5,2270,6300,2,0,0,3,8,2270,0,1995,0,42.3097266,-73.769,2240,7005
8091400200,2527,2,1.5,1070,9643,1,0,0,3,7,1070,0,1985,0,42.3097533,-73.766,1220,8386
3814700200,3290,3,2.25,2450,6500,2,0,0,4,8,2450,0,1985,0,42.3097739,-73.772,2200,6865
1202000200,2330,3,2,1710,4697,1.5,0,0,5,6,1710,0,1941,0,42.3097048,-73.718,1030,4705
1794500383,9370,3,1.75,2450,2691,2,0,0,3,8,1750,700,1915,0,42.6168386,-73.76,1760,3573
3303700376,6670,3,1,1400,1581,1.5,0,0,5,8,1400,0,1909,0,42.6168221,-73.714,1860,3861
5101402488,4380,3,1.75,1520,6380,1,0,0,3,7,790,730,1948,0,42.616895,-73.704,1520,6235
1873100390,7190,4,2.5,2570,7173,2,0,0,3,8,2570,0,2005,0,42.7378073,-73.71,2630,6026
8562750320,5805,3,2.5,2320,3980,2,0,0,3,8,2320,0,2003,0,42.5208391,-73.77,2580,3980
2426039314,2800,2,1.5,1190,1265,3,0,0,3,7,1190,0,2005,0,42.7378274,-73.757,1390,1756
461000390,6875,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,0,42.6168823,-73.768,1460,5000
7589200193,5350,3,1,1090,3000,1.5,0,0,4,8,1090,0,1929,0,42.6168889,-73.775,1570,5080
7955080270,3225,4,2.75,2060,6659,1,0,0,3,7,1280,780,1981,0,42.4095276,-73.757,2020,8720
9547205180,6960,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,2002,42.6168827,-73.71,1590,3264
9435300030,5500,4,1,1660,34848,1,0,0,1,5,930,730,1933,0,42.6168621,-73.732,2160,11467
2768000400,6400,4,2,2360,6000,2,0,0,4,8,2360,0,1904,0,42.6168702,-73.762,1730,4700
7895500070,2400,4,1,1220,8075,1,0,0,2,7,890,330,1969,0,42.3097341,-73.782,1290,7800
2078500320,6050,4,2.5,2620,7553,2,0,0,3,8,2620,0,1996,0,42.5208301,-73.78,2620,11884
5547700270,6250,4,2.5,2570,5520,2,0,0,3,9,2570,0,2000,0,42.6168145,-73.727,2470,5669
7766200013,7750,4,2.25,4220,24186,1,0,0,3,8,2600,1620,1984,0,42.409545,-73.747,2410,30617
7203220400,8619,5,2.75,3595,5639,2,0,0,3,9,3595,0,2014,0,42.6168848,-73.716,3625,5639
9270200160,6850,3,1,1570,2280,2,0,0,3,7,1570,0,1922,0,42.6168413,-73.764,1580,2640
1432701230,3090,3,1,1280,9656,1,0,0,4,6,920,360,1959,0,42.4095485,-73.775,1340,8808
8035350320,4880,3,2.5,3160,13603,2,0,0,3,8,3160,0,2003,0,42.7378443,-73.877,3050,9232
8945200830,2104,3,1,990,8528,1,0,0,3,6,990,0,1966,0,42.3097066,-73.771,1228,8840
4178300310,7850,4,2.5,2290,13416,2,0,0,4,9,2290,0,1981,0,42.6168194,-73.751,2680,13685
9215400105,4500,3,1.75,1250,5963,1,0,0,4,7,1250,0,1953,0,42.6168796,-73.701,970,5100
822039084,1350,3,2.5,2753,65005,1,1,2,5,9,2165,588,1953,0,42.4095041,-73.751,2680,72513
5245600105,2280,3,1,1190,9199,1,0,0,3,7,1190,0,1955,0,42.4095258,-73.722,1190,9364
7231300125,3450,5,2.5,3150,9134,1,0,0,4,8,1640,1510,1966,0,42.4095934,-73.789,1990,9133
7518505990,6000,3,1.75,1410,4080,1,0,0,4,7,1000,410,1950,0,42.6168808,-73.784,1410,4080
3626039271,5850,2,1.75,1980,8550,1,0,0,3,7,990,990,1981,0,42.6168989,-73.769,1480,6738
4217401195,9200,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,1927,0,42.6168571,-73.781,2730,6000
9822700295,8850,4,2.5,2830,5000,2,0,0,3,9,2830,0,1995,0,42.6168597,-73.79,1950,5000
9478500640,2925,4,2.5,2250,4495,2,0,0,3,7,2250,0,2008,0,42.3097663,-73.714,2250,4500
2799800710,3010,3,2.5,2420,4750,2,0,0,3,8,2420,0,2003,0,42.3097663,-73.722,2690,4750
7922800400,9510,5,3.25,3250,14342,2,0,4,4,8,3250,0,1968,0,42.520888,-73.716,2960,11044
8079040320,4300,4,3,1850,9976,2,0,0,3,8,1850,0,1991,0,42.5208059,-73.749,2270,8542
1516000055,6500,3,2.25,2150,21235,1,0,3,4,8,1590,560,1959,0,42.4095336,-73.739,2570,18900
9558200045,2890,3,1.75,1260,8400,1,0,0,3,7,1260,0,1954,0,42.4095366,-73.735,1290,8750
5072410070,5050,3,1.75,2519,8690,2,0,0,5,8,2519,0,1973,0,42.4095428,-73.744,2500,9500
9528102996,5490,3,1.75,1540,1044,3,0,0,3,8,1540,0,2014,0,42.6168765,-73.72,1580,3090
1189001180,4250,3,2.25,1660,6000,1,0,0,3,7,1110,550,1979,0,42.6168113,-73.797,1440,4080
3253500160,3176,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1925,0,42.5208747,-73.704,1440,4000
3394100030,9750,4,2.5,2720,11049,2,0,0,3,10,2720,0,1989,0,42.5208815,-73.792,2750,11049
3717000160,2870,4,2.5,2240,4648,2,0,0,3,7,2240,0,2005,0,42.3097378,-73.757,2221,4557
